,Intel,AMD,Qualcomm,MicronTech,Infenion,STMElectro,Texas,Toyota,VW,Ford,Nissan,Honda,PSA,Daimler,Tata,Fuji,Boing,UnitTech,LockMartin,Honeywell,GenDyn,BAE,Northrop,Raytheon,RollsRoyce,Textron,Embraer,Apple,Micrsoft,Nokia,Sony,LG,Motorola,Lenovo,BlackBerry,Alcatel,Vodafone,JandJ,GE,Medtronic,Fresenius,Koninklijke (Philips),Cardinal,Novartis,Stryker,Becton,BostonScience,Allergan,St Jude,3M,Abbott,Zimmer,SmithAndNephew,Olympus,Bayer,Bard,Varian,DENTSPLY,Hologic,Danaher,Edwards,Intuitive,ABB Robo,Adept,Bosch,CaterPill,Denso,Google,Unversal Electro
BAE,0.6203,0.3222,0.1012,0.3961,0.7957,0.7404,0.7579,0.8378,-0.0751,-0.0491,0.6439,0.4279,0.9209,0.8258,0.3634,0.1171,0.8106,0.5,0.6937,0.7761,0.5769,1,0.8415,0.5987,0.6205,0.7511,0.8804,-0.3209,0.6229,0.8939,0.8529,0.7101,0.6124,0.3626,0.7205,0.6653,0.8273,0.4479,0.8894,0.7336,0.0379,0.814,0.7892,0.4713,0.7328,0.4774,0.5517,0.4094,0.4744,0.4447,0.2899,0.8271,0.7552,0.7368,0.3533,0.2992,0.0951,0.3512,0.8646,0.5895,-0.5349,-0.097,0.4778,0.4959,-0.1713,0.6087,0.7459,0.3544,0.6118
Northrop,0.7834,0.3478,0.1957,0.4935,0.8429,0.7286,0.8555,0.7792,-0.312,0.3078,0.7596,0.6607,0.8958,0.8892,0.6359,0.4492,0.9206,0.7859,0.7162,0.9139,0.6521,0.8415,1,0.7116,0.8312,0.7269,0.9041,-0.0202,0.794,0.809,0.9084,0.8399,0.5946,0.5853,0.6973,0.6204,0.8478,0.6436,0.857,0.7882,0.2841,0.9585,0.7431,0.6482,0.8515,0.6007,0.4598,0.4517,0.5289,0.7131,0.3697,0.8812,0.8593,0.8437,0.4663,0.3979,0.4522,0.4386,0.8068,0.625,-0.3165,0.188,0.5798,0.5379,0.0815,0.8492,0.7383,0.5506,0.6887
Raytheon,0.5976,-0.2715,0.0461,-0.112,0.3828,0.1943,0.3663,0.3418,0.1968,0.0975,0.1953,0.3429,0.5234,0.7077,0.2062,-0.0508,0.5166,0.6985,0.8657,0.8178,0.389,0.5987,0.7116,1,0.5067,0.1872,0.4817,0.2544,0.6695,0.7207,0.4845,0.5105,-0.0209,0.7194,0.5274,0.0307,0.7744,0.6818,0.4497,0.4487,0.5805,0.6527,0.2351,0.2807,0.8682,0.8888,-0.0703,-0.1506,0.3541,0.4555,0.7037,0.5666,0.8115,0.6671,0.7899,0.8082,0.2073,0.0521,0.3796,0.7218,0.0535,0.5613,0.82,0.0433,0.162,0.5033,0.3454,0.6086,0.6587
RollsRoyce,0.8089,0.3041,0.1155,0.5476,0.8118,0.6357,0.8463,0.6474,-0.5294,0.6524,0.7568,0.7865,0.7285,0.8417,0.8368,0.5451,0.8634,0.8858,0.4273,0.7937,0.4737,0.6205,0.8312,0.5067,1,0.5906,0.7798,0.2655,0.8191,0.5291,0.7582,0.7837,0.5421,0.6241,0.5639,0.5216,0.7636,0.535,0.6425,0.5652,0.4153,0.9028,0.5141,0.6763,0.6988,0.4341,0.2649,0.4635,0.3799,0.8898,0.2638,0.7352,0.7306,0.8553,0.4287,0.1948,0.4397,0.2806,0.6673,0.4054,-0.1227,0.2735,0.5158,0.307,0.4527,0.8097,0.6772,0.6996,0.69
Textron,0.4779,0.7224,0.1279,0.7903,0.895,0.954,0.8331,0.927,-0.425,0.059,0.8601,0.5171,0.8614,0.5874,0.472,0.4329,0.851,0.3392,0.3624,0.521,0.5419,0.7511,0.7269,0.1872,0.5906,1,0.8837,-0.5505,0.479,0.5936,0.8678,0.6069,0.9047,0.0014,0.6967,0.9617,0.4989,0.3485,0.9171,0.7974,-0.2934,0.7348,0.9497,0.6492,0.4443,0.0306,0.8187,0.7974,0.3489,0.4559,-0.046,0.8165,0.4936,0.5927,-0.1004,-0.1016,0.2101,0.5084,0.8539,0.3829,-0.6188,-0.4495,0.0206,0.7651,-0.3214,0.6337,0.7666,0.0675,0.4001
Embraer,0.6978,0.5316,0.1672,0.6235,0.9199,0.8915,0.8988,0.9051,-0.3298,0.1777,0.8354,0.5788,0.959,0.8438,0.5919,0.4044,0.9254,0.5981,0.5862,0.7787,0.666,0.8804,0.9041,0.4817,0.7798,0.8837,1,-0.2895,0.6907,0.7895,0.9283,0.7808,0.7948,0.3431,0.7253,0.8191,0.7759,0.522,0.9506,0.8147,0.0111,0.9033,0.8858,0.6589,0.7067,0.3655,0.6736,0.6482,0.5139,0.6205,0.1848,0.9012,0.7471,0.7696,0.2344,0.1745,0.3265,0.4779,0.9163,0.4835,-0.5686,-0.1374,0.3518,0.6507,-0.1023,0.7614,0.7936,0.3621,0.6199
Apple,0.2711,-0.5266,0.0676,-0.3746,-0.2547,-0.5066,-0.1191,-0.4823,-0.0655,0.6371,-0.2367,0.226,-0.3107,0.1178,0.305,0.176,-0.1331,0.5021,-0.0178,0.2117,-0.1187,-0.3209,-0.0202,0.2544,0.2655,-0.5505,-0.2895,1,0.238,-0.2433,-0.248,0.0719,-0.5568,0.6555,-0.1851,-0.6031,0.1395,0.166,-0.4558,-0.339,0.8151,0.043,-0.6107,-0.0361,0.1711,0.384,-0.698,-0.4718,0.0046,0.3816,0.3011,-0.2223,0.1299,0.129,0.5608,0.3191,0.3171,-0.2749,-0.4415,-0.0795,0.6315,0.8537,0.5327,-0.5119,0.8484,0.1717,-0.2615,0.6282,0.1943
Micrsoft,0.8438,0.2043,0.2087,0.3851,0.6568,0.5516,0.712,0.5929,-0.328,0.4811,0.6581,0.6851,0.6744,0.7749,0.6171,0.3381,0.7192,0.8239,0.5816,0.7775,0.6155,0.6229,0.794,0.6695,0.8191,0.479,0.6907,0.238,1,0.603,0.7085,0.7354,0.4139,0.7254,0.5749,0.4077,0.7614,0.7208,0.6062,0.6583,0.4361,0.8433,0.4371,0.6359,0.7998,0.6149,0.2541,0.3362,0.4703,0.7509,0.4294,0.727,0.8162,0.8812,0.5694,0.3567,0.452,0.2926,0.5968,0.6768,0.0452,0.409,0.6065,0.2386,0.2429,0.6691,0.6649,0.7962,0.7172
Nokia,0.6204,0.1544,0.1617,0.1939,0.6568,0.5886,0.6394,0.679,0.1452,-0.1788,0.4785,0.2847,0.8642,0.835,0.2073,-0.0091,0.7043,0.5004,0.8038,0.8068,0.5475,0.8939,0.809,0.7207,0.5291,0.5936,0.7895,-0.2433,0.603,1,0.7677,0.7098,0.4471,0.4878,0.6503,0.4832,0.8594,0.4923,0.8136,0.6618,0.1012,0.7325,0.6655,0.3409,0.7812,0.5913,0.4374,0.1636,0.4765,0.3806,0.3966,0.6981,0.7476,0.7175,0.5097,0.4462,0.0683,0.411,0.7866,0.677,-0.4751,0.0742,0.6035,0.3925,-0.2387,0.5508,0.6187,0.4152,0.6904
Sony,0.6972,0.5407,0.2778,0.6379,0.8992,0.8687,0.902,0.8877,-0.3703,0.2125,0.8526,0.64,0.926,0.8083,0.5785,0.45,0.9149,0.6064,0.5726,0.7835,0.6725,0.8529,0.9084,0.4845,0.7582,0.8678,0.9283,-0.248,0.7085,0.7677,1,0.8181,0.7464,0.3716,0.7159,0.8036,0.7369,0.5004,0.9044,0.8377,0.0318,0.897,0.8667,0.6646,0.711,0.3621,0.6729,0.629,0.5221,0.6219,0.1955,0.884,0.7385,0.794,0.2544,0.1337,0.3381,0.5568,0.8718,0.5649,-0.428,-0.08,0.3854,0.6411,-0.1061,0.7857,0.8157,0.4021,0.6239
